genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
lo-fi chill,0.6766785581196582,0.7053952991452993,143302.8688034188,0.2562137606837607,0.18232887890598287,0.1641415811965812,-14.438052136752141,0.18601568376068373,115.52585555555555,0.4035119658119658,66.38376068376068,7,1
lo-fi cover,0.369725,0.5367500000000001,137590.5,0.3686,0.6264999999999998,0.201875,-12.87775,0.103125,132.086,0.58325,22.75,1,1
lo-fi emo,0.22491940740740735,0.4834789629629629,226681.44074074074,0.6245588888888888,0.2790832257037037,0.15941881481481482,-9.471041481481484,0.07146596296296298,113.94171555555555,0.4281118518518518,46.678148148148146,7,1
lo-fi house,0.38545,0.7645,162371.0,0.275,0.9575,0.1681,-11.839,0.09135,83.185,0.383,67.0,7,1
lo-fi indie,0.4957372915113871,0.4801237681159418,207588.04037267086,0.4877730848861281,0.4289831884057971,0.12826028985507248,-11.751136024844715,0.057477080745341615,115.92293830227743,0.4205895445134577,41.080124223602475,7,1
lo-fi vgm,0.629,0.705,213000.0,0.7070000000000001,0.0,0.0548,-9.757,0.365,108.12100000000001,0.6759999999999999,15.0,9,1
london rap,0.14256666666666665,0.6983333333333334,168902.33333333337,0.5,0.0,0.0937,-7.315666666666668,0.198,111.07866666666666,0.5023333333333333,72.33333333333333,11,0
louisiana blues,0.5888871648849934,0.6212470799149915,206794.8608683284,0.4818249357017496,0.14666126760526252,0.17820566814051114,-12.333525846582756,0.05079003074698682,116.77501299116348,0.7045943093023359,29.421816901776285,7,1
louisiana metal,0.012564298750000005,0.3909166666666665,314140.0,0.7863333333333333,0.2559966583333333,0.1009125,-7.720333333333333,0.0922125,125.90770833333332,0.4255416666666667,34.5,9,1
louisville indie,0.08423383333333334,0.4890000000000001,295607.79166666674,0.8152916666666666,0.041328999999999984,0.3326625,-5.069583333333333,0.04973333333333333,103.43508333333334,0.4993291666666666,16.583333333333332,4,1
louisville underground,0.1105157125,0.34443749999999995,318438.5,0.624025,0.516144375,0.23411875,-12.8436875,0.0485125,117.1164375,0.18215625,37.9375,3,1
lounge,0.6962775836053849,0.4771731556419472,198159.9974859886,0.3699600345870334,0.2616644434653529,0.19291540830709544,-12.740984071814209,0.05841362502248605,113.91765704003755,0.4691204858341178,24.56696810046711,5,1
lounge house,0.2852233333333333,0.6531666666666668,237736.66666666663,0.38525,0.5617105983333333,0.18881666666666666,-11.478333333333332,0.03901666666666667,110.93025000000002,0.22068333333333331,0.0,6,1
lovers rock,0.2257032413656864,0.7565831130039458,220251.07956128274,0.5184178437592437,0.05648500780506644,0.14184074116384213,-10.146942077854119,0.12677241305464834,114.00323201917674,0.7586946298723005,38.892187169361975,11,1
lullaby,0.7528771241830063,0.4716444444444444,176346.95555555559,0.20930471764705885,0.4912459621568626,0.09379973856209148,-18.164461437908496,0.07095607843137255,94.09475032679742,0.37985359477124186,51.926797385620915,0,1
lund indie,0.9,0.22399999999999998,267307.0,0.373,0.519,0.221,-11.175999999999998,0.0341,132.061,0.0976,38.0,0,1
lute,0.57048,0.4930000000000001,210694.8,0.269952,0.8826,0.09651999999999998,-21.934999999999995,0.0615,121.8386,0.6534,11.2,5,1
macedonian electronic,0.00968,0.775,364800.0,0.9740000000000001,0.8190000000000001,0.449,-4.862,0.0456,124.99600000000001,0.307,0.0,7,0
macedonian folk,0.4960105508870215,0.4491944817927169,256685.4895704949,0.6144909430438841,0.011117548066386556,0.2733695219421102,-8.419907600373481,0.047646661064425784,117.22749227824457,0.6665092250233425,3.063510737628385,2,1
macedonian pop,0.5865,0.354,290457.0,0.6094999999999999,0.0180561,0.3670000000000001,-8.3275,0.03725,117.23,0.4385,1.0,4,0
madchester,0.07138954848141091,0.5259198796269916,238214.06306796122,0.7739137456684115,0.1364701523017759,0.1981493222426632,-8.619609813906402,0.04826097622126107,121.8783040511501,0.6038953195532935,43.294767573898326,9,1
madrigal,0.8870000000000001,0.41626,206592.0,0.17326,0.29545000000000005,0.187,-17.937,0.11408,90.9182,0.26158000000000003,23.0,6,1
magyar alternative,0.6481666666666666,0.5970000000000001,733455.6666666665,0.2451666666666667,0.0,0.2145,-20.759333333333334,0.8545000000000001,93.50283333333331,0.3143333333333333,1.0,7,1
maine hip hop,0.145,0.636,249160.0,0.774,0.0,0.633,-5.474,0.344,92.429,0.774,49.0,0,1
maine indie,0.16093333333333334,0.5373333333333333,183931.66666666663,0.591,0.4425000000000001,0.23766666666666664,-10.980333333333334,0.05873333333333334,115.045,0.37833333333333335,15.666666666666664,9,0
mainland chinese pop,0.787,0.431,232333.0,0.2,0.0,0.257,-10.87,0.0449,210.53400000000002,0.309,50.0,2,1
makossa,0.5008,0.6573333333333333,374426.58333333326,0.6680833333333333,0.29349749999999997,0.2239,-9.215749999999998,0.04964166666666667,114.3815,0.7793333333333333,23.41666666666667,2,1
malaysian hip hop,3.96e-06,0.335,125969.0,0.963,0.922,0.318,-12.452,0.0439,137.194,0.431,9.0,2,1
malaysian mandopop,0.4374000000000001,0.6648,186394.6,0.7334000000000002,0.0,0.1148,-3.656200000000001,0.03,117.6156,0.7868,37.2,5,1
malaysian pop,0.13526666666666667,0.529,247023.0,0.643,0.032106666666666665,0.125,-5.548333333333333,0.03946666666666667,138.3366666666667,0.23466666666666666,53.66666666666666,9,0
malian blues,0.40555,0.608325,318207.95,0.4658249999999999,0.013687799999999998,0.22391500000000006,-12.798,0.041175,114.4408,0.7041,32.75,7,1
mallet,0.9116666666666666,0.32519999999999993,456377.53333333344,0.24721333333333334,0.1960666666666667,0.10970666666666667,-17.272066666666664,0.04342666666666667,95.3774,0.2625066666666667,28.4,11,0
